產業別,代號,名稱,市值(億)
保險業,2867.TW,三商壽,379.0
保險業,2850.TW,新產,318.0
保險業,2851.TW,中再保,207.0
光電業,3008.TW,大立光,3076.0
光電業,3481.TW,群創,1266.0
光電業,2409.TW,友達,1247.0
其他業,5871.TW,中租-KY,2433.0
其他業,9945.TW,潤泰新,1371.0
其他業,9941.TW,裕融,691.0
其他電子業,2317.TW,鴻海,30499.0
其他電子業,2360.TW,致茂,1939.0
其他電子業,6409.TW,旭隼,1702.0
化學工業,4763.TW,材料-KY,871.0
化學工業,1722.TW,台肥,548.0
化學工業,1773.TW,勝一,424.0
半導體業,2330.TW,台積電,281370.0
半導體業,2454.TW,聯發科,20742.0
半導體業,3711.TW,日月光投控,6941.0
塑膠工業,1303.TW,南亞,3363.0
塑膠工業,1301.TW,台塑,2960.0
塑膠工業,1326.TW,台化,2177.0
居家生活,8464.TW,億豐,1278.0
居家生活,9911.TW,櫻花,183.0
居家生活,9924.TW,福興,111.0
建材營造業,2542.TW,興富發,888.0
建材營造業,2504.TW,國產,658.0
建材營造業,2540.TW,愛山林,564.0
數位雲端,8454.TW,富邦媒,949.0
數位雲端,3130.TW,一零四,72.9
數位雲端,6689.TW,伊雲谷,62.6
橡膠工業,2105.TW,正新,1499.0
橡膠工業,2101.TW,南港,403.0
橡膠工業,2106.TW,建大,285.0
水泥工業,1101.TW,台泥,2435.0
水泥工業,1102.TW,亞泥,1647.0
水泥工業,1104.TW,環泥,205.0
汽車工業,2207.TW,和泰車,3560.0
汽車工業,2258.TW,鴻華先進-創,731.0
汽車工業,1319.TW,東陽,636.0
油電燃氣業,6505.TW,台塑化,4344.0
油電燃氣業,8926.TW,台汽電,319.0
油電燃氣業,9937.TW,全國,206.0
玻璃陶瓷,1802.TW,台玻,551.0
玻璃陶瓷,1810.TW,和成,52.0
玻璃陶瓷,1806.TW,冠軍,39.4
生技醫療業,6446.TW,藥華藥,2163.0
生技醫療業,6919.TW,康霈*,821.0
生技醫療業,6472.TW,保瑞,793.0
紡織纖維,1402.TW,遠東新,1898.0
紡織纖維,1476.TW,儒鴻,1561.0
紡織纖維,1477.TW,聚陽,849.0
綠能環保,6806.TW,森崴能源,284.0
綠能環保,6873.TW,泓德能源,250.0
綠能環保,6869.TW,雲豹能源,246.0
航運業,2603.TW,長榮,4741.0
航運業,2615.TW,萬海,2646.0
航運業,2609.TW,陽明,2507.0
觀光餐旅,2707.TW,晶華,255.0
觀光餐旅,2704.TW,國賓,215.0
觀光餐旅,2727.TW,王品,201.0
證券業,6005.TW,群益證,484.0
證券業,2855.TW,統一證,395.0
證券業,6024.TW,群益期,120.0
貿易百貨業,2912.TW,統一超,2828.0
貿易百貨業,2915.TW,潤泰全,883.0
貿易百貨業,2903.TW,遠百,371.0
資訊服務業,6214.TW,精誠,385.0
資訊服務業,3029.TW,零壹,173.0
資訊服務業,2480.TW,敦陽科,137.0
通信網路業,2412.TW,中華電,9542.0
通信網路業,3045.TW,台灣大,4263.0
通信網路業,2345.TW,智邦,3246.0
造紙工業,1907.TW,永豐餘,519.0
造紙工業,1904.TW,正隆,260.0
造紙工業,1905.TW,華紙,204.0
運動休閒,9910.TW,豐泰,1402.0
運動休閒,9904.TW,寶成,1174.0
運動休閒,6890.TW,來億-KY,984.0
金控業,2881.TW,富邦金,12531.0
金控業,2882.TW,國泰金,10078.0
金控業,2891.TW,中信金,7299.0
銀行業,2801.TW,彰銀,1983.0
銀行業,5876.TW,上海商銀,1911.0
銀行業,2834.TW,臺企銀,1384.0
鋼鐵工業,2002.TW,中鋼,3650.0
鋼鐵工業,2027.TW,大成鋼,864.0
鋼鐵工業,2006.TW,東和鋼鐵,542.0
電器電纜,1605.TW,華新,1161.0
電器電纜,1609.TW,大亞,355.0
電器電纜,1608.TW,華榮,188.0
電子通路業,3702.TW,大聯大,1269.0
電子通路業,3036.TW,文曄,1261.0
電子通路業,2347.TW,聯強,1208.0
電子零組件業,2308.TW,台達電,10416.0
電子零組件業,2327.TW,國巨,2890.0
電子零組件業,3037.TW,欣興,2600.0
電機機械,1590.TW,亞德客-KY,1854.0
電機機械,1519.TW,華城,1852.0
電機機械,1503.TW,士電,1120.0
電腦及週邊設備業,2382.TW,廣達,12554.0
電腦及週邊設備業,2357.TW,華碩,4561.0
電腦及週邊設備業,6669.TW,緯穎,3875.0
食品工業,1216.TW,統一,4943.0
食品工業,1229.TW,聯華,1021.0
食品工業,1210.TW,大成,460.0
